timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,Hostname,IdleTime,Connect
1491991152327,3523,Req3,200,OK,Thread Group 1-10,text,true,,663917,224,10,10,http://www.thetestingworld.com/category/must-learn/unix-linux//,,631,UTF-8,SQS-LAPTOP-29,0,198
1491991152327,4435,Req3,200,OK,Thread Group 1-6,text,true,,662978,224,9,9,http://www.thetestingworld.com/category/must-learn/unix-linux//,,623,UTF-8,SQS-LAPTOP-29,0,196
1491991152327,4570,Req3,200,OK,Thread Group 1-2,text,true,,662749,224,8,8,http://www.thetestingworld.com/category/must-learn/unix-linux//,,675,UTF-8,SQS-LAPTOP-29,0,210
1491991152327,5936,Req3,200,OK,Thread Group 1-1,text,true,,662525,224,7,7,http://www.thetestingworld.com/category/must-learn/unix-linux//,,616,UTF-8,SQS-LAPTOP-29,0,187
1491991152327,6066,Req3,200,OK,Thread Group 1-7,text,true,,662525,224,6,6,http://www.thetestingworld.com/category/must-learn/unix-linux//,,674,UTF-8,SQS-LAPTOP-29,0,203
1491991152327,6077,Req3,200,OK,Thread Group 1-5,text,true,,662539,224,5,5,http://www.thetestingworld.com/category/must-learn/unix-linux//,,658,UTF-8,SQS-LAPTOP-29,0,202
1491991152327,6145,Req3,200,OK,Thread Group 1-9,text,true,,662520,224,4,4,http://www.thetestingworld.com/category/must-learn/unix-linux//,,679,UTF-8,SQS-LAPTOP-29,0,203
1491991152327,6219,Req3,200,OK,Thread Group 1-4,text,true,,662471,224,3,3,http://www.thetestingworld.com/category/must-learn/unix-linux//,,603,UTF-8,SQS-LAPTOP-29,0,184
1491991152327,6220,Req3,200,OK,Thread Group 1-8,text,true,,662498,224,3,3,http://www.thetestingworld.com/category/must-learn/unix-linux//,,655,UTF-8,SQS-LAPTOP-29,0,199
1491991152327,6268,Req3,200,OK,Thread Group 1-3,text,true,,662458,224,1,1,http://www.thetestingworld.com/category/must-learn/unix-linux//,,643,UTF-8,SQS-LAPTOP-29,0,200
